TextName:Lat,Long,Location,Dialect,Genre,YoC,YoM,AuthName,AuthBD,AuthSex,AuthAge,RecName,RecBD,RecSex,RecAge,RecRelation,Words,OCWords,NamWords,ForWords,Types,OCTypes,NamTypes,ForTypes,Chars,OCChars,NamChars,ForChars,Tokens
ARUNDEL_031:x,x,x,x,L,1620,1620,Aletheia_Howard[n.talbot],1585,f,35,Dudley_Carleton,1573,m,47,x,268,72,8,0,138,68,7,0,1893,451,43,0,8
ARUNDEL_032:x,x,x,x,L,1622,1622,Thomas_Howard_Iii,1585,m,37,Dudley_Carleton,1573,m,49,x,417,115,14,0,210,97,13,0,2696,684,84,0,11
ARUNDEL_033:x,x,x,x,L,1626,1626,Henry_Frederick_Howard,1608,m,18,Humphrey_Haggett,_,m,_,x,140,29,20,0,79,25,17,0,1258,162,111,0,8
ARUNDEL_034:x,x,x,x,L,1622,1622,Thomas_Howard_Iii,1585,m,37,Thomas_Roe,1581,m,41,x,279,72,8,0,143,61,8,0,1892,435,58,0,9
ARUNDEL_035:x,x,x,x,L,1624,1624,Thomas_Howard_Iii,1585,m,39,Thomas_Roe,1581,m,43,x,237,62,7,0,123,54,7,0,1677,359,44,0,9
ARUNDEL_036:x,x,x,x,L,1625,1625,Thomas_Howard_Iii,1585,m,40,Thomas_Roe,1581,m,44,x,252,67,9,0,131,57,8,0,1859,416,55,0,10
ARUNDEL_037:x,x,x,x,L,1626,1626,Thomas_Howard_Iii,1585,m,41,Thomas_Roe,1581,m,45,x,395,113,10,0,177,89,10,0,2730,667,61,0,14
ARUNDEL_038:x,x,x,x,L,1632,1632,Thomas_Wentworth,1593,m,39,Thomas_Howard_Iii,1585,m,47,x,516,129,21,0,226,108,17,0,3911,770,132,0,21
ARUNDEL_039:x,x,x,x,L,1631,1631,Elizabeth_Stuart,1596,f,35,Thomas_Howard_Iii,1585,m,46,x,250,47,13,0,132,41,13,0,2507,260,84,0,17
ARUNDEL_040:x,x,x,x,L,1632,1632,Elizabeth_Stuart,1596,f,36,Thomas_Howard_Iii,1585,m,47,x,334,64,20,0,154,57,19,0,2851,333,121,0,18
ARUNDEL_041:x,x,x,x,L,1632,1632,Thomas_Howard_Iii,1585,m,47,Richard_Plumleigh,_,m,_,x,186,46,12,0,99,41,12,0,1359,288,70,0,7
ARUNDEL_042:x,x,x,x,L,1632,1632,Richard_Plumleigh,_,m,_,Thomas_Howard_Iii,1585,m,47,x,263,73,16,1,132,53,14,1,2398,423,109,3,15
ARUNDEL_043:x,x,x,x,L,1632,1632,Richard_Plumleigh,_,m,_,Thomas_Howard_Iii,1585,m,47,x,228,57,13,1,131,49,12,1,1764,317,78,4,10
ARUNDEL_044:x,x,x,x,L,1632,1632,Thomas_Howard_Iii,1585,m,47,Elizabeth_Stuart,1596,f,36,x,165,45,6,0,97,39,5,0,1121,264,24,0,5
ARUNDEL_045:x,x,x,x,L,1633,1633,Thomas_Howard_Iii,1585,m,48,Charles_Stuart_I,1600,m,33,x,428,124,12,2,209,97,11,2,2485,803,70,11,7
ARUNDEL_046:x,x,x,x,L,1633,1633,Thomas_Howard_Iii,1585,m,48,Charles_Stuart_I,1600,m,33,x,728,207,12,0,283,154,12,0,4877,1310,82,0,21
ARUNDEL_047:x,x,x,x,L,1633,1633,Elizabeth_Stuart,1596,f,37,Thomas_Howard_Iii,1585,m,48,x,519,106,32,2,202,92,28,2,4563,579,202,6,29
ARUNDEL_048:x,x,x,x,l,1633,1633,Henry_Frederick_Howard,1608,m,25,William_Petty_2,_,m,_,FAMILY_SERVANT,279,66,21,8,133,53,17,8,2975,368,119,51,17
ARUNDEL_049:x,x,x,x,l,1633,1633,Henry_Frederick_Howard,1608,m,25,William_Petty_2,_,m,_,FAMILY_SERVANT,274,62,13,0,132,56,12,0,2389,347,67,0,12
ARUNDEL_050:x,x,x,x,l,1633,1633,Henry_Frederick_Howard,1608,m,25,William_Petty_2,_,m,_,FAMILY_SERVANT,209,60,9,9,122,54,9,8,1924,306,52,45,10
ARUNDEL_051:x,x,x,x,l,1633,1633,William_Howard,1611,m,22,William_Petty_2,_,m,_,FAMILY_SERVANT,183,46,9,7,97,39,8,7,1811,239,35,38,11
ARUNDEL_052:x,x,x,x,L,1633,1633,Thomas_Howard_Iii,1585,m,48,Francis_Windebank,1582,m,51,x,222,59,11,0,124,52,9,0,1702,331,61,0,9
ARUNDEL_053:x,x,x,x,L,1633,1633,Thomas_Howard_Iii,1585,m,48,Francis_Windebank,1582,m,51,x,359,86,21,0,192,79,17,0,2483,539,148,0,10
ARUNDEL_054:x,x,x,x,L,1633,1633,Thomas_Howard_Iii,1585,m,48,Francis_Windebank,1582,m,51,x,211,52,12,0,119,48,12,0,1684,302,80,0,9
ARUNDEL_055:x,x,x,x,L,1633,1633,Elizabeth_Stuart,1596,f,37,Anne_Howard[n.dacre],1553,f,80,x,340,72,9,0,145,66,8,0,2871,395,64,0,17
ARUNDEL_056:x,x,x,x,l,1633,1633,Aletheia_Howard[n.talbot],1585,f,48,Thomas_Howard_Iii,1585,m,48,HUSBAND,432,94,23,0,195,82,19,0,3983,487,135,0,20
ARUNDEL_057:x,x,x,x,l,1636,1636,Henry_Frederick_Howard,1608,m,28,William_Petty_2,_,m,_,FAMILY_SERVANT,197,45,9,16,115,42,9,12,2012,247,45,91,11
ARUNDEL_058:x,x,x,x,l,1636,1636,Henry_Frederick_Howard,1608,m,28,William_Petty_2,_,m,_,FAMILY_SERVANT,293,78,17,11,146,62,15,9,2907,400,102,64,16
ARUNDEL_059:x,x,x,x,l,1636,1636,Henry_Frederick_Howard,1608,m,28,William_Petty_2,_,m,_,FAMILY_SERVANT,294,68,29,10,150,54,22,9,2314,387,187,59,10
ARUNDEL_060:x,x,x,x,l,1636,1636,Thomas_Howard_Iii,1585,m,51,William_Petty_2,_,m,_,FAMILY_SERVANT,237,51,21,0,134,47,19,0,2192,279,121,0,12
ARUNDEL_061:x,x,x,x,l,1636,1636,Thomas_Howard_Iii,1585,m,51,William_Petty_2,_,m,_,FAMILY_SERVANT,417,90,24,3,185,75,20,3,3608,495,133,25,19
ARUNDEL_062:x,x,x,x,l,1636,1636,Thomas_Howard_Iii,1585,m,51,William_Petty_2,_,m,_,FAMILY_SERVANT,328,66,22,4,159,56,16,4,3253,354,134,24,19
ARUNDEL_063:x,x,x,x,l,1636,1636,Thomas_Howard_Iii,1585,m,51,William_Petty_2,_,m,_,FAMILY_SERVANT,335,75,19,3,170,70,16,3,2897,414,131,13,15
ARUNDEL_064:x,x,x,x,l,1637,1637,Thomas_Howard_Iii,1585,m,52,William_Petty_2,_,m,_,FAMILY_SERVANT,337,75,30,3,165,66,25,3,3247,427,180,19,18
ARUNDEL_065:x,x,x,x,l,1637,1637,Henry_Frederick_Howard,1608,m,29,William_Petty_2,_,m,_,FAMILY_SERVANT,658,149,51,0,246,104,31,0,5669,834,290,0,28
ARUNDEL_066:x,x,x,x,L,1639,1639,Thomas_Howard_Iii,1585,m,54,Francis_Windebank,1582,m,57,x,141,31,15,0,98,31,12,0,1007,177,81,0,5
ARUNDEL_067:x,x,x,x,L,1639,1639,Thomas_Howard_Iii,1585,m,54,Francis_Windebank,1582,m,57,x,151,40,7,0,93,36,7,0,1221,218,43,0,7
ARUNDEL_068:x,x,x,x,L,1641,1641,Thomas_Howard_Iii,1585,m,56,John_Pennington,_,m,_,x,180,46,22,0,119,40,19,0,1468,286,131,0,8
ARUNDEL_069:x,x,x,x,L,1641,1641,Thomas_Howard_Iii,1585,m,56,John_Pennington,_,m,_,x,244,74,11,0,136,64,10,0,1974,440,78,0,11
ARUNDEL_070:x,x,x,x,L,1641,1641,Thomas_Howard_Iii,1585,m,56,John_Pennington,_,m,_,x,138,43,7,0,87,42,7,0,1089,258,45,0,6
ARUNDEL_071:x,x,x,x,l,1642,1642,William_Howard,1611,m,31,Aletheia_Howard[n.talbot],1585,f,57,MOTHER,209,63,10,0,112,51,10,0,2373,370,68,0,13
ARUNDEL_072:x,x,x,x,l,1642,1642,William_Howard,1611,m,31,Thomas_Howard_Iii,1585,m,57,FATHER,257,71,16,0,134,55,14,0,2376,398,98,0,13
ARUNDEL_073:x,x,x,x,l,1642,1642,William_Howard,1611,m,31,Thomas_Howard_Iii,1585,m,57,FATHER,169,46,4,0,94,33,4,0,1373,254,26,0,7
ARUNDEL_074:x,x,x,x,l,1642,1642,William_Howard,1611,m,31,Aletheia_Howard[n.talbot],1585,f,57,MOTHER,280,72,9,0,137,63,7,0,3154,403,56,0,18
ARUNDEL_075:x,x,x,x,L,1644,1644,Thomas_Howard_Iii,1585,m,59,Richard_Browne,1605,m,39,x,376,85,32,0,189,71,20,0,3033,464,195,0,17
ARUNDEL_076:x,x,x,x,L,1644,1644,Thomas_Howard_Iii,1585,m,59,Richard_Browne,1605,m,39,x,460,124,25,2,236,102,18,2,2854,679,152,11,11
ARUNDEL_077:x,x,x,x,l,1680,1680,William_Howard,1611,m,69,Aletheia_Howard[n.talbot],1585,f,95,MOTHER,223,54,8,0,108,43,7,0,1957,283,53,0,10
ARUNDEL_078:x,x,x,x,L,1616,1616,William_Smith,_,m,_,Thomas_Howard_Iii,1585,m,31,x,439,121,16,0,208,99,15,0,2649,742,91,0,10
ASCH:x,x,x,x,E,1566,1568,Roger_Ascham,1515,m,51,x,xxxx,x,xx,x,15797,4899,389,98,2792,1704,188,87,67941,29642,2441,578,569
AUNGIER:x,x,x,x,L,1674,1675,Francis_Aungier,1632,m,42,Arthur_Capel,1631,m,43,dist_eql,3438,998,213,1,970,576,99,1,15266,6460,1280,4,107
AUSTEN:x,x,x,x,l,1807,1808,Jane_Austen,1775,f,32,Cassandra_Austen,1773,f,34,sister,10037,2635,689,5,1933,1137,272,4,40538,14937,4188,12,716
AUTHNEW:x,x,x,x,Y,1611,1611,New_Auth,1560,m,51,x,xxxx,x,xx,x,37188,11238,2245,2,2625,1813,287,2,144923,56294,12545,12,4216
AUTHOLD:x,x,x,x,Y,1611,1611,Old_Auth,1540,m,71,x,xxxx,x,xx,x,33238,10057,2271,0,2453,1644,394,0,130204,51518,11614,0,3329
BACON:x,x,x,x,E,1605,1605,Francis_Bacon,1561,m,44,x,xxxx,x,xx,x,18362,5436,331,456,3714,2267,174,368,83290,36722,2136,2629,485
BACON_001:x,x,x,x,l,1569,1569,Nicholas_Bacon_Ii,1543,m,26,Nathaniel_Bacon_I,1546,m,23,BROTHER,342,77,19,0,143,52,15,0,3302,414,113,0,18
BACON_002:x,x,x,x,l,1569,1569,Charles_Morrison,1549,m,20,Nathaniel_Bacon_I,1546,m,23,x,339,76,14,0,164,68,11,0,3190,377,85,0,21
BACON_003:x,x,x,x,L,1570,1570,Nathaniel_Bacon_I,1546,m,_,Anthony_Stringer,_,m,_,x,702,158,4,0,234,108,3,0,4805,834,20,0,28
BACON_004:x,x,x,x,l,1570,1570,Nathaniel_Bacon_I,1546,m,_,Anne_Gresham[n.ferneley],_,f,_,MOTHER_IN_LAW,522,131,0,0,198,97,0,0,4354,718,0,0,20
BACON_005:x,x,x,x,l,1570,1570,Stephen_Nevinson,_,m,_,Reginald_Wolfe,_,m,_,FATHER,332,74,22,11,158,64,17,11,2602,452,132,56,14
BACON_006:x,x,x,x,l,1571,1571,Nathaniel_Bacon_I,1546,m,25,Nicholas_Bacon_I,1510,m,61,FATHER,218,54,13,0,112,44,8,0,1699,313,85,0,8
BACON_007:x,x,x,x,l,1572,1572,Nathaniel_Bacon_I,1546,m,26,Anne_Bacon[n.cooke],1528,f,44,MOTHER,514,111,1,7,202,81,1,6,4102,613,7,31,21
BACON_008:x,x,x,x,l,1572,1572,Anne_Bacon[n.gresham],_,f,_,Anne_Bacon[n.cooke],1528,f,44,MOTHER_IN_LAW,277,68,7,0,136,51,6,0,2214,409,41,0,9
BACON_009:x,x,x,x,l,1572,1572,Anne_Bacon[n.gresham],_,f,_,Winefred_Dutton,_,f,_,NATURAL_MOTHER,392,88,4,0,160,65,4,0,3902,508,28,0,21
BACON_010:x,x,x,x,l,1572,1572,Anne_Bacon[n.gresham],_,f,_,Anne_Gresham[n.ferneley],_,f,_,MOTHER,363,89,2,0,158,66,2,0,2961,496,14,0,15
BACON_011:x,x,x,x,l,1572,1572,Anne_Bacon[n.gresham],_,f,_,Thomas_Gresham,1519,m,53,FATHER,184,51,4,0,100,45,4,0,1687,288,25,0,9
BACON_012:x,x,x,x,l,1572,1572,John_Mounford,_,m,_,Nicholas_Bacon_I,1510,m,62,x,344,95,25,3,166,78,17,3,3021,540,148,14,15
BACON_013:x,x,x,x,l,1572,1572,Nicholas_Bacon_I,1510,m,62,Nicholas_Bacon_Ii,1543,m,29,SON,1505,372,50,0,439,241,29,0,12264,2055,309,0,66
BACON_014:x,x,x,x,l,1572,1572,Nathaniel_Bacon_I,1546,m,26,Nicholas_Bacon_I,1510,m,62,FATHER,475,119,17,0,201,86,14,0,4082,664,122,0,21
BACON_015:x,x,x,x,l,1572,1572,Nathaniel_Bacon_I,1546,m,26,Nicholas_Bacon_I,1510,m,62,FATHER,203,56,8,0,108,42,7,0,1397,279,65,0,6
BACON_016:x,x,x,x,l,1572,1572,Robert_Blackman,_,m,_,Nathaniel_Bacon_I,1546,m,26,COUSIN,311,57,16,0,141,50,16,0,2553,295,97,0,14
BACON_017:x,x,x,x,l,1572,1572,Nathaniel_Bacon_I,1546,m,26,Thomas_Gresham,1519,m,53,SON_IN_LAW,266,69,2,0,125,61,2,0,2164,411,13,0,10
BACON_018:x,x,x,x,l,1572,1572,Nathaniel_Bacon_I,1546,m,26,Nicholas_Bacon_I,1510,m,62,FATHER,495,109,19,0,197,88,12,0,4594,659,116,0,26
BACON_019:x,x,x,x,l,1572,1572,Nicholas_Bacon_I,1510,m,62,Nathaniel_Bacon_I,1546,m,26,BROTHER,489,103,21,4,179,79,18,4,4457,587,150,19,24
BACON_020:x,x,x,x,l,1572,1572,Francis_Wyndham,_,m,_,Nathaniel_Bacon_I,1546,m,26,BROTHER_IN_LAW,455,116,29,0,199,94,20,0,4198,680,188,0,20
BACON_021:x,x,x,x,L,1572,1572,Anthony_Stringer,_,m,_,Nathaniel_Bacon_I,1546,m,26,x,193,49,23,0,118,46,19,0,1346,306,148,0,6
BACON_022:x,x,x,x,l,1572,1572,Nathaniel_Bacon_I,1546,m,26,Nicholas_Bacon_I,1510,m,62,FATHER,530,112,31,0,191,86,12,0,3994,678,193,0,19
BACON_023:x,x,x,x,l,1572,1572,Nathaniel_Bacon_I,1546,m,26,Anne_Gresham[n.ferneley],_,f,_,MOTHER_IN_LAW,297,68,8,0,142,54,5,0,2460,383,57,0,11
BACON_024:x,x,x,x,l,1572,1572,Nathaniel_Bacon_I,1546,m,26,Nicholas_Bacon_I,1510,m,62,FATHER,495,100,20,0,207,85,14,0,4331,596,127,0,23
BACON_025:x,x,x,x,l,1572,1572,Francis_Wyndham,_,m,_,Nathaniel_Bacon_I,1546,m,26,BROTHER_IN_LAW,469,107,24,1,212,92,21,1,4243,610,151,5,21
BACON_026:x,x,x,x,l,1572,1572,Edward_Bacon,1548,m,24,Nathaniel_Bacon_I,1546,m,26,BROTHER,524,111,35,0,219,92,25,0,5907,670,193,0,36
BACON_027:x,x,x,x,l,1572,1572,Nicholas_Bacon_I,1510,m,62,Nathaniel_Bacon_I,1546,m,26,SON,290,68,13,2,145,61,12,2,2793,398,79,4,16
BACON_028:x,x,x,x,l,1572,1572,Nicholas_Bacon_I,1510,m,62,Nathaniel_Bacon_I,1546,m,26,SON,861,217,23,12,287,155,14,3,6711,1240,174,44,32
BACON_029:x,x,x,x,l,1572,1572,Edward_Bacon,1548,m,24,Nathaniel_Bacon_I,1546,m,26,BROTHER,366,81,30,0,167,72,20,0,4053,479,166,0,24
BACON_030:x,x,x,x,l,1572,1572,Nathaniel_Bacon_I,1546,m,26,Nicholas_Bacon_I,1510,m,62,FATHER,414,102,19,0,192,86,13,0,3616,622,131,0,19
BACON_031:x,x,x,x,l,1572,1572,Nathaniel_Bacon_I,1546,m,26,Nicholas_Bacon_I,1510,m,62,FATHER,483,159,12,0,219,120,8,0,3559,824,83,0,16
BACON_032:x,x,x,x,L,1572,1572,Edward_Grimstone,1528,m,44,Nathaniel_Bacon_I,1546,m,26,x,335,83,13,20,183,74,11,19,2974,503,77,108,17
BACON_033:x,x,x,x,l,1572,1572,Nicholas_Bacon_I,1510,m,62,Nathaniel_Bacon_I,1546,m,26,SON,212,52,16,2,104,44,11,2,1891,305,113,4,10
BACON_034:x,x,x,x,l,1573,1573,Nicholas_Bacon_Ii,1543,m,30,Nathaniel_Bacon_I,1546,m,27,BROTHER,204,45,18,0,96,34,11,0,1687,277,99,0,8
BACON_035:x,x,x,x,l,1573,1573,Anne_Bacon[n.gresham],_,f,_,Anne_Gresham[n.ferneley],_,f,_,MOTHER,175,42,3,0,87,33,3,0,1620,244,13,0,9
BACON_036:x,x,x,x,l,1573,1573,Nicholas_Bacon_I,1510,m,63,Nathaniel_Bacon_I,1546,m,27,SON,107,26,10,2,65,25,9,2,1252,146,67,4,8
BACON_037:x,x,x,x,l,1573,1573,John_Mounford,_,m,_,Nathaniel_Bacon_I,1546,m,27,x,980,230,22,0,311,154,15,0,8201,1160,142,0,42
BACON_038:x,x,x,x,L,1573,1573,Edward_Stanhawe,_,m,_,Nathaniel_Bacon_I,1546,m,27,x,186,46,5,2,105,43,5,2,1348,262,39,11,7
BACON_039:x,x,x,x,l,1573,1573,John_Mounford,_,m,_,Nathaniel_Bacon_I,1546,m,27,x,702,171,14,0,255,134,13,0,6293,896,82,0,33
BACON_040:x,x,x,x,l,1573,1573,Nathaniel_Bacon_I,1546,m,27,Anne_Bacon[n.cooke],1528,f,45,MOTHER,320,83,6,0,149,70,6,0,2490,461,49,0,12
BACON_041:x,x,x,x,l,1573,1573,Anne_Bacon[n.gresham],_,f,_,Anne_Gresham[n.ferneley],_,f,_,MOTHER,185,51,4,0,109,43,4,0,1586,278,30,0,8
BACON_042:x,x,x,x,l,1573,1573,Nathaniel_Bacon_I,1546,m,27,Nicholas_Bacon_I,1510,m,63,FATHER,200,48,7,0,105,38,5,0,1514,269,51,0,7
BACON_043:x,x,x,x,l,1573,1573,Nicholas_Bacon_I,1510,m,63,Nathaniel_Bacon_I,1546,m,27,SON,395,106,13,2,192,91,10,2,2840,626,87,4,12
BACON_044:x,x,x,x,l,1573,1573,Nathaniel_Bacon_I,1546,m,27,Nicholas_Bacon_I,1510,m,63,FATHER,555,147,12,0,215,108,11,0,4493,814,89,0,23
BACON_045:x,x,x,x,L,1574,1574,John_Saunders,_,m,_,Nathaniel_Bacon_I,1546,m,28,x,217,57,8,5,128,54,6,5,1723,359,43,26,10
BACON_046:x,x,x,x,l,1573,1573,Nathaniel_Bacon_I,1546,m,27,Thomas_Gresham,1519,m,54,FATHER_IN_LAW,291,75,9,0,158,66,8,0,2441,422,68,0,11
BACON_047:x,x,x,x,L,1573,1573,Anthony_Stringer,_,m,_,Nathaniel_Bacon_I,1546,m,27,x,87,22,5,0,59,21,5,0,768,120,30,0,5
BACON_048:x,x,x,x,l,1573,1573,John_Mounford,_,m,_,Nathaniel_Bacon_I,1546,m,27,x,1108,275,31,3,373,202,24,3,9299,1310,188,14,48
